證券代碼,年月,目前狀態,上市別,TESG評等公告日,採用永續報告書年度,採用永續報告書是否驗證,SASB主產業,SASB子產業,E_取得碳排相關ISO認證,E_加入國際倡議組織,E_認證_能源管理系統,E_發行綠債及永續債佔資產比%(不含金融業),E_GRI_能源管理揭露度,E_用水回收率%,E_取得用水相關國際認證,E_GRI_用水及廢水管理揭露度,E_認證_環境管理系統,E_GRI_廢棄物管理揭露度,E_GRI_生態影響揭露度,S_GRI_人權及社區關係揭露度,S_認證_資訊安全管理系統,S_GRI_資安及客戶隱私揭露度,S_認證_品質管理系統,S_GRI_員工統計揭露度,S_育嬰留停復職率%(合計),S_育嬰留停留任率%(合計),S_失能風險(三年平均),S_失能揭露(Y/N),S_失能揭露,S_認證(職業安全衛生管理系統),S_GRI_員工健康及安全揭露度,S_GRI_員工多元化揭露度,G_GRI_供應鏈管理揭露度,G_GRI_氣候變遷影響揭露度,G_GRI_商業倫理揭露度,G_GRI_競爭行為揭露度,G_GRI_法遵管理揭露度,G_GRI_關鍵事件風險管理揭露度,G_3年內更換會計師事務所_換至非四大(Y/N),G_3年內更換會計師事務所_換至非四大,G_3年內有非會計制度變更的財務重編(Y/N),G_3年內有非會計制度變更的財務重編,G_公司治理評鑑等級,G_董事長/總經理遭處分(Y/N),G_董事長/總經理遭處分,G_設置永續長(Y/N),G_設置永續長
6244 茂迪,202312  ,Current ,OTC,20231101,2022,N,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,4,43.82,0,2.5,1,2.5,0,1,0,0.5,0.5,3,66.67,50,0.47,N,0,1,6,3,4.5,0.5,3,0.5,0.5,1.5,N,1,N,1,3,N,1,Y,1
6443 元晶,202312  ,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,太陽能科技與項目開發商,5,0,0,0,1,14.54,0,5,1,5,0,0,0,0,0.5,2,60.23,52.5,0.47,N,0,3,10,2,5,1,0,0,1,3,N,1,N,1,3,N,1,Y,1
6477 安集,202312  ,Current ,TSE,20231101,2022,N,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,2.5,0,0,1.5,1,2.5,1.5,1.5,0,0.5,0.5,2,28.57,60,5.33,Y,1,2,5,2,5,0,1,0.5,0.5,0.5,N,1,N,1,4,N,1,N,0
6538 倉和,202312  ,Current ,OTC,20231101,2022,N,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,0.5,0,0,0.5,1,0.5,0,0,0,0.5,0.5,2.5,100,100,0.47,N,0,0,6,2,1,0,0.5,0.5,0.5,1.5,N,1,N,1,3,N,1,Y,1
6790 永豐實,202312  ,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,紙漿與紙製品,1,0,2,0,4,38.06,0,5,0,0,0,2,0,1,0.5,6,50,50,0.47,N,0,2,11,3,3,0,0,0,1,3,N,1,N,1,3,N,1,Y,1
6806 森崴能源,202312  ,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.5,5,63.64,52.5,0.47,N,0,0,10,1,5,1,3,0,1,3,N,1,N,1,2,N,1,Y,1
6873 泓德能源,202312  ,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,太陽能科技與項目開發商,1,0,0,0,3,0,0,2,0,2,3,1,0,1,0.5,5,100,50,0.35,Y,1,1,12,3,7,1,3,1,1,3,N,1,N,1,7,N,1,Y,1
9958 世紀鋼,202312  ,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,風力科技與項目開發商,1,0,1,0,4,0,0,0,0,4,0,0,0,1,2.5,4,60.23,52.5,12.3,Y,1,1,12,4,4,1,2,1,1,3,N,1,Y,0,5,N,1,Y,1
2704 國賓,202312  ,Current ,TSE,20231101,2022,Y,服務,旅館與住宿,0,0,0,0,2,0,0,1,0,2,0,0,0,1,0.5,6,33.33,0,8.98,N,0,0,4,2,2,0,0,0,1,3,N,1,N,1,7,N,1,Y,1
2707 晶華,202312  ,Current ,TSE,20231101,2022,Y,服務,旅館與住宿,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,4,71.43,75,5.06,Y,1,0,3,3,3,0,0,0,2,3,N,1,N,1,5,N,1,Y,1
2712 遠雄來,202312  ,Current ,TSE,20231101,2021,N,服務,旅館與住宿,0,0,0,0,1.5,0,0,1,0,0.5,0,0,0,0.5,0,1.5,14.29,100,0.94,Y,1,0,2,2,1.5,0,0.5,0.5,0.5,0.5,N,1,N,1,5,N,1,Y,1
2722 夏都,202312  ,Current ,TSE,20231101,2022,N,服務,旅館與住宿,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0.5,0,2,75,66.67,35.09,Y,1,0,2,0.5,1.5,0,0,0,0.5,1,N,1,N,1,3,N,1,Y,1
2739 寒舍,202312  ,Current ,TSE,20231101,2022,Y,服務,旅館與住宿,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,6,55,68,24.88,Y,1,0,3,4,2,0,0,0,2,3,N,1,N,1,6,N,1,Y,1
2748 雲品,202312  ,Current ,TSE,20231101,2022,Y,服務,旅館與住宿,0,0,1,0,1,0,0,3,0,3,0,0,1,1,0,6,83.33,33.33,8.98,N,0,0,12,1,4,0,1,1,1,3,N,1,N,1,3,N,1,Y,1
3093 港建*,202312  ,Current ,OTC,20231101,2022,N,服務,專業與商業服務,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0,0.5,1,2.5,33.33,46.665,8.98,N,0,0,1,2.5,3,0,0,0,1,1.5,N,1,N,1,3,N,1,Y,1
3587 閎康,202312  ,Current ,OTC,20231101,2022,Y,服務,專業與商業服務,0,0,0,0,0,0,0,1,0,2,0,0,2,1,1.5,4,92.31,71.43,8.98,N,0,0,7,3,3,0,4,1,1,3,N,1,N,1,2,N,1,Y,1
5364 力麗店,202312  ,Current ,OTC,20231101,2021,N,服務,旅館與住宿,0,0,0,0,3,0,0,1,0,1,1,0.5,0,0.5,1,1,33.33,46.665,0,Y,1,0,2,1.5,3,0,0,0,0.5,0,N,1,N,1,3,N,1,Y,1
5701 劍湖山,202312  ,Current ,OTC,20231101,2022,Y,服務,休閒設施,0,0,0,0,4,0,0,3,0,5,2,2,0,1,1,4,33.33,100,7.3,N,0,0,11,4,6,1,6,1,2,3,N,1,N,1,7,N,1,Y,1
5703 亞都,202312  ,Current ,OTC,20231101,2022,Y,服務,旅館與住宿,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,100,46.665,5.67,Y,1,0,7,2,3,0,0,0,2,3,N,1,N,1,3,N,1,Y,1
5905 南仁湖,202312  ,Current ,OTC,20231101,2022,N,服務,休閒設施,0,0,0,0,1.5,0.14,0,2.5,0,2.5,2,1,0,0.5,0,3,42.86,14.29,8.98,N,0,0,6,2.5,4.5,0.5,1,0.5,0.5,1.5,N,1,N,1,6,N,1,Y,1
6146 耕興,202312  ,Current ,OTC,20231101,2022,N,服務,專業與商業服務,0,0,0,0,2,0,0,0.5,0,0.5,0,0.5,0,0,1.5,1.5,92.86,100,6.3,N,0,0,0,0,1.5,0,1.5,0.5,0.5,1.5,N,1,N,1,3,N,1,Y,1
6184 大豐電,202312  ,Current ,TSE,20231101,2022,Y,服務,媒體與娛樂,0,0,0,0,2,0,0,3,0,5,0,1,3,1,0.5,6,100,46.665,7.3,N,0,0,10,3,2,1,3,1,1,3,N,1,N,1,7,N,1,Y,1
6464 台數科,202312  ,Current ,TSE,20231101,2022,Y,服務,媒體與娛樂,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,5,33.33,0,8.98,N,0,0,8,5,3,0,0,0,1,3,N,1,N,1,4,N,1,Y,1
6856 鑫傳,202312  ,Current ,OTC,20231101,2021,Y,服務,媒體與娛樂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,46.665,8.98,N,0,0,0,0,0,0,0,0,0,0,N,1,N,1,7,N,1,Y,1
8450 霹靂,202312  ,Current ,OTC,20231101,2022,N,服務,媒體與娛樂,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,2.5,33.33,46.665,8.98,N,0,0,1,1.5,1,0,0.5,0,0.5,1.5,N,1,N,1,2,N,1,Y,1
9917 中保科,202312  ,Current ,TSE,20231101,2022,Y,服務,專業與商業服務,0,0,0,0,2,0,0,0,1,0,0,1,0,1,1,4,20,100,23.42,Y,1,0,6,2,4,0,2,1,1,3,N,1,N,1,3,Y,0,Y,1
9925 新保,202312  ,Current ,TSE,20231101,2022,Y,服務,專業與商業服務,0,0,1,0,2,0,0,1,0,0,0,0,1,1,1.5,5,97.67,66.67,16.43,Y,1,0,10,3,4,0,2,0,2,3,N,1,N,1,3,N,1,Y,1
9943 好樂迪,202312  ,Current ,TSE,20231101,2020,Y,服務,休閒設施,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.17,60,8.98,N,0,0,0,0,0,0,0,0,0,0,N,1,N,1,6,N,1,Y,1
2801 彰銀,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,2,3,2,0,4,0,1,0,2,0,0,1,3,1,0,6,93.59,85.71,0.07,N,0,0,12,5,4,1,4,1,1,3,N,1,N,1,1,N,1,Y,1
2809 京城銀,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,5,53.85,85.71,0.07,Y,1,0,6,3,1,1,3,0,1,3,N,1,N,1,1,N,1,Y,1
2812 台中銀,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,1,1,0,0,3,0,0,3,1,2,0,2,2,1,0,6,78.72,63.64,0.07,N,0,0,10,6,4,1,2,1,1,3,N,1,N,1,2,N,1,N,0
2816 旺旺保,202312  ,Current ,TSE,20231101,2022,Y,金融,保險,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,70,100,0.02,N,0,0,0,1,3,0,2,0,1,3,N,1,N,1,4,N,1,Y,1
2820 華票,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,77.57,0.02,Y,1,0,0,0,1,0,0,0,1,3,N,1,N,1,3,N,1,Y,1
2832 台產,202312  ,Current ,TSE,20231101,2022,Y,金融,保險,0,0,0,0,2,0,0,3,0,0,0,0,1,1,0,5,60,66.67,0,Y,1,0,8,3,2,1,2,1,1,3,N,1,N,1,3,N,1,Y,1
2834 臺企銀,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,1,3,1,0,2,0,0,0,1,0,0,1,2,0,0,5,91.94,86.67,0.07,N,0,1,10,4,5,1,5,1,1,3,N,1,N,1,2,N,1,Y,1
2836 高雄銀,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,2,0,0,0,0,0,1,0,0,0,3,1,0,6,100,100,0.07,N,0,0,12,2,4,1,5,0,1,3,N,1,N,1,3,N,1,Y,1
2838 聯邦銀,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,1,0,2,0,1,0,0,0,0,0,0,4,1,1,0,5,57.83,90,0.07,N,0,0,3,2,3,1,3,1,2,3,N,1,N,1,2,N,1,Y,1
2845 遠東銀,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,1,2,0,0,3,0,0,2,1,1,0,4,1,1,1,6,72.22,70,0.07,N,0,0,11,6,6,1,3,1,2,3,N,1,N,1,1,N,1,Y,1
2849 安泰銀,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,0,0,0,0,2,0,0,3,0,0,0,1,0,1,0,6,63.64,100,0.07,N,0,0,10,5,4,1,3,1,1,3,N,1,N,1,2,N,1,Y,1
2850 新產,202312  ,Current ,TSE,20231101,2022,Y,金融,保險,1,0,0,0,4,0,0,2,0,0,0,0,2,1,0,6,100,77.78,0.07,N,0,0,4,3,4,1,3,0,1,3,N,1,N,1,2,N,1,N,0
2851 中再保,202312  ,Current ,TSE,20231101,2022,Y,金融,保險,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,6,100,100,2.1,Y,1,0,9,4,1,0,2,1,2,3,N,1,N,1,2,N,1,Y,1
2852 第一保,202312  ,Current ,TSE,20231101,2022,Y,金融,保險,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,80,100,0.07,N,0,0,2,2,1,0,2,0,1,3,N,1,N,1,4,N,1,Y,1
2855 統一證,202312  ,Current ,TSE,20231101,2022,Y,金融,投資銀行與經紀商,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,6,66.67,100,0.92,Y,1,0,2,0,1,0,3,1,1,3,N,1,N,1,3,Y,0,Y,1
2867 三商壽,202312  ,Current ,TSE,20231101,2022,Y,金融,保險,1,0,0,0,4,0,0,0,1,0,0,0,2,1,0.5,6,61.11,79.17,0.07,N,0,0,2,4,1,1,1,0,2,3,N,1,N,1,2,N,1,Y,1
2880 華南金,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,1,1,1,0,2,0.05,1,0,1,1,0,0,3,1,0,6,90.79,77.57,0.14,Y,1,1,4,2,1,0,1,0,1,3,N,1,N,1,2,N,1,Y,1
2881 富邦金,202312  ,Current ,TSE,20231101,2022,Y,金融,保險,2,4,1,0,4,0,0,0,1,0,0,2,3,1,1,6,70.35,75.82,1.3,Y,1,1,11,5,3,1,3,1,1,3,N,1,N,1,2,N,1,Y,1
2882 國泰金,202312  ,Current ,TSE,20231101,2022,Y,金融,保險,2,4,1,0,0,0,1,0,1,0,0,0,5,1,1.5,6,70.06,82.97,0.09,Y,1,3,10,2,1,1,0,0,1,3,N,1,N,1,1,N,1,Y,1
2883 凱基金,202312  ,Current ,TSE,20231101,2022,Y,金融,保險,2,3,1,0,3,0,0,0,1,2,0,0,3,1,0,6,82.35,84.96,0.19,Y,1,1,12,4,8,1,3,0,1,3,N,1,N,1,2,Y,0,Y,1
2884 玉山金,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,1,4,3,0,2,0,2,2,1,1,0,1,2,1,1,6,91.54,90.85,0.06,Y,1,2,12,5,6,0,5,1,2,3,N,1,N,1,1,Y,0,Y,1
2885 元大金,202312  ,Current ,TSE,20231101,2022,Y,金融,投資銀行與經紀商,3,3,2,0,4,0,1,1,2,1,0,0,3,1,1,6,61.36,77.5,0.23,Y,1,1,10,0,3,1,0,1,1,3,N,1,N,1,1,N,1,N,0
2886 兆豐金,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,3,3,2,0,1,0,1,1,2,0,1,1,4,1,0,4,73.39,94.29,0.18,Y,1,1,11,2,3,1,5,1,1,3,N,1,N,1,1,N,1,Y,1
2887 台新金,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,1,3,1,0,5,0,0,0,1,0,0,0,1,1,0,6,72.12,76.7,0.07,N,0,1,12,3,8,1,3,1,1,3,N,1,N,1,2,N,1,Y,1
2888 新光金,202312  ,Current ,TSE,20231101,2022,Y,金融,保險,1,2,2,0,0,0,1,0,1,0,0,0,3,1,2,6,75.72,79.5,0.02,Y,1,1,2,2,1,1,2,1,1,3,N,1,N,1,2,Y,0,Y,1
2889 國票金,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,1,2,1,0,2,0,0,3,1,1,0,0,1,1,0,2,100,50,0.07,N,0,0,0,3,1,1,3,1,1,3,N,1,N,1,3,N,1,Y,1
2890 永豐金,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,1,3,1,0,5,0,0,0,1,5,0,0,2,1,0,5,83.93,86.21,0.07,N,0,1,4,4,5,1,3,0,1,3,N,1,N,1,2,Y,0,Y,1
2891 中信金,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,2,3,1,0,5,0,0,3,1,5,4,0,3,1,0.5,6,78.24,87.04,0.05,Y,1,1,12,5,2,1,5,1,1,3,N,1,N,1,2,Y,0,Y,1
2892 第一金,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,1,3,2,0,5,0,2,0,2,0,0,0,3,1,0,6,96.43,96.12,0.71,Y,1,1,12,5,7,1,6,0,1,3,N,1,N,1,1,N,1,Y,1
2897 王道銀行,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,1,3,2,0,3,0,0,3,1,5,0,1,1,1,0,6,62.5,66.67,0.07,N,0,0,9,6,6,1,6,1,1,3,N,1,N,1,1,N,1,Y,1
2905 三商,202312  ,Current ,TSE,20231101,2022,Y,金融,保險,1,0,2,0,3,0,0,2,0,3,0,0,2,0,1.5,5,70.31,69.44,1.03,Y,1,1,12,0,1,1,0,0,1,3,N,1,N,1,5,N,1,Y,1
5864 致和證,202312  ,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,6,70,77.57,0.07,N,0,0,9,5,4,1,1,1,1,3,N,1,N,1,4,N,1,Y,1
5871 中租-KY,202312  ,Current ,TSE,20231101,2022,Y,金融,抵押融資,2,1,0,0,2,0,0,3,1,0,0,2,2,1,0,6,42.86,64.71,0.07,N,0,1,12,5,6,0,3,0,1,3,N,1,N,1,1,N,1,Y,1
5876 上海商銀,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,3,3,2,0,1,0,0,1,1,2,0,0,2,1,1,5,83.33,80.56,0.07,N,0,1,10,1,5,0,3,1,1,3,N,1,N,1,2,N,1,Y,1
5878 台名,202312  ,Current ,OTC,20231101,2022,Y,金融,保險,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,3,100,100,0.07,N,0,0,0,2,4,0,3,0,1,3,N,1,N,1,2,N,1,Y,1
5880 合庫金,202312  ,Current ,TSE,20231101,2022,Y,金融,商業銀行,2,3,2,0,5,0,1,2,1,3,0,0,3,1,0,5,97.09,98.36,0.07,N,0,2,0,3,2,1,0,0,1,3,N,1,N,1,1,Y,0,Y,1
6005 群益證,202312  ,Current ,TSE,20231101,2022,Y,金融,投資銀行與經紀商,0,1,0,0,2,0,0,0,0,0,0,0,3,1,0,6,67,83.33,0.04,N,0,0,11,0,5,1,2,0,2,3,N,1,N,1,3,N,1,Y,1
6015 宏遠證,202312  ,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,3,70,77.57,0.07,N,0,0,3,3,4,1,4,0,1,3,N,1,N,1,2,N,1,Y,1
6016 康和證,202312  ,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,100,100,0.07,Y,1,1,10,1,1,0,2,1,1,3,N,1,N,1,2,Y,0,Y,1
6020 大展證,202312  ,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,5,0,0,1,0,1,0,0,0,1,0,5,70,77.57,0.02,Y,1,0,10,5,5,1,0,1,1,3,N,1,N,1,2,N,1,Y,1
6021 美好證,202312  ,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,3,0,0,1,0,1,0,1,0,1,0,5,66.67,100,0.07,N,0,0,4,4,4,1,2,1,2,3,N,1,N,1,3,Y,0,Y,1
6023 元大期,202312  ,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,1,0,1,0,0,0,1,0,1,0,0,0,2,1,1,6,100,100,0.07,N,0,1,2,0,1,0,6,0,1,3,N,1,N,1,1,N,1,Y,1
6024 群益期,202312  ,Current ,TSE,20231101,2022,Y,金融,投資銀行與經紀商,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,70,77.57,11.61,Y,1,0,0,0,1,1,0,0,1,3,N,1,N,1,2,N,1,Y,1
6026 福邦證,202312  ,Current ,OTC,20231101,2022,Y,金融,投資銀行與經紀商,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,5,100,100,0.07,Y,1,0,3,3,2,1,1,1,1,3,N,1,N,1,2,N,1,Y,1
6592 和潤企業,202312  ,Current ,TSE,20231101,2022,Y,金融,消費者金融,1,1,0,0,1,0,0,2,0,0,0,1,1,1,0.5,4,70,77.57,54.18,Y,1,0,2,2,1,1,1,0,1,3,N,1,N,1,2,N,1,Y,1
9941 裕融,202312  ,Current ,TSE,20231101,2022,Y,金融,消費者金融,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,4,87.5,100,0.07,N,0,0,4,2,1,0,1,0,1,3,N,1,N,1,1,N,1,Y,1
1560 中砂,202312  ,Current ,TSE,20231101,2022,N,科技與通訊,半導體,2,0,2,0,2,0,0,1.5,1,0,0,0,0,0.5,1.5,2.5,100,90,0.13,Y,1,4,6,2,2,0.5,2.5,0.5,0.5,1.5,N,1,N,1,4,N,1,Y,1
1582 信錦,202312  ,Current ,TSE,20231101,2022,N,科技與通訊,半導體,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0.5,60,66.67,0.04,N,0,1,2.5,0,2,0.5,0,0,0,0,N,1,N,1,3,N,1,Y,1
1611 中電,202312  ,Current ,TSE,20231101,2022,N,科技與通訊,半導體,0,0,0,0,0.5,0,0,1.5,1,0,0,0,0,0,0,1.5,60,66.67,0.05,N,0,1,2.5,1.5,2,0.5,0,0,0,0.5,N,1,N,1,5,N,1,Y,1
1815 富喬,202312  ,Current ,OTC,20231101,2022,N,科技與通訊,硬體,0,0,0,0,0,11.6,0,0,1,0,0,0,0,0.5,1.5,1.5,42.86,66.67,0.04,N,0,0,6,0,1.5,0.5,0,0,0.5,1.5,N,1,N,1,3,N,1,Y,1
2301 光寶科,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,1,3,1,0,4,12.05,0,1,2,0,0,3,2,1,1,6,61.11,84.62,0.02,Y,1,0,12,4,9,1,3,1,2,3,N,1,N,1,1,N,1,Y,1
2303 聯電,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,2,3,1,2.1873,3,0,1,5,1,5,0,0,3,0,1.5,3,74.22,85.71,0.04,N,0,3,12,2,9,0,0,0,1,3,N,1,N,1,1,N,1,Y,1
2305 全友,202312  ,Current ,TSE,20231101,2022,N,科技與通訊,硬體,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1.5,3,60,66.67,0.04,Y,1,0,5.5,0.5,1.5,0,0,0,0.5,1,N,1,N,1,6,N,1,Y,1
2308 台達電,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,3,3,1,0,6,8.46,0,5,0,5,0,0,3,1,1.5,4,81.19,76.47,0.04,N,0,2,12,3,7,1,2,1,1,3,N,1,N,1,1,N,1,Y,1
2312 金寶,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,電子製造服務與原廠設計製造,1,2,0,0,4,0,0,3,2,3,0,0,2,1,5.5,4,66.67,66.67,0.05,N,0,1,10,2,5,1,2,1,1,3,N,1,N,1,3,N,1,Y,1
2313 華通,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,1,1,1,0,4,8.42,0,5,2,5,0,0,1,1,2.5,3,87.1,82.14,0.74,Y,1,1,12,2,6,1,0,0,1,3,N,1,N,1,4,N,1,Y,1
2314 台揚,202312  ,Current ,TSE,20231101,2022,N,科技與通訊,硬體,0,0,0,0,0,1.66,0,0,1,0,0,0,1,0,2.5,1,88,66.67,0,Y,1,2,0,0,0.5,0,0,0,0.5,1.5,N,1,N,1,3,N,1,Y,1
2317 鴻海,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,電子製造服務與原廠設計製造,1,3,1,0,1,5.13,0,0,1,0,0,1,2,1,1.5,2,99,84.1,0.04,N,0,2,8,1,1,0,1,1,1,3,N,1,N,1,2,N,1,Y,1
2323 中環,202312  ,Current ,TSE,20231101,2022,N,科技與通訊,硬體,2,0,0,0,2.5,0,0,2.5,1,2.5,0,1.5,0,0.5,1.5,2.5,100,66.67,5.36,Y,1,3,6,3,4.5,0.5,3,0.5,1,1.5,N,1,N,1,4,N,1,Y,1
2324 仁寶,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,電子製造服務與原廠設計製造,1,2,1,0,0,0,0,4,1,1,0,0,1,1,1,6,70.49,66.67,0.04,N,0,1,7,5,5,0,2,0,1,3,N,1,N,1,3,N,1,Y,1
2327 國巨,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,1,1,0,0.3345,2,15.83,0,3,1,3,0,0,0,1,2.5,5,65.52,88.24,0.04,N,0,1,11,2,7,0,5,1,1,3,N,1,N,1,3,N,1,Y,1
2329 華泰,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,2,0,1,0,4,3.35,1,5,1,5,0,2,0,1,2.5,6,63.64,88.24,0.06,Y,1,3,12,3,8,1,3,1,1,3,N,1,N,1,4,N,1,Y,1
2330 台積電,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,4,3,1,1.7011,5,67.34,2,5,3,5,0,3,2,1,1.5,6,82.96,84.27,0.03,Y,1,2,12,5,9,1,6,1,1,3,N,1,N,1,1,N,1,Y,1
2331 精英,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,1,0,2,0,7,78.63,0,3,3,5,0,0,0,1,1.5,6,100,66.67,0.04,Y,1,1,11,2,9,1,3,1,1,3,N,1,N,1,2,N,1,Y,1
2332 友訊,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0.5,2,100,100,2.15,Y,1,1,0,0,6,0,3,1,1,3,N,1,N,1,2,N,1,Y,1
2337 旺宏,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,2,0,0,0,6,59.25,0,5,1,5,0,0,1,1,1.5,6,82.61,100,0.04,N,0,3,12,1,1,1,4,0,1,3,N,1,N,1,2,N,1,Y,1
2338 光罩,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,0,0,0,0,3,0,0,5,1,5,0,4,0,1,0.5,6,100,66.67,0.6,Y,1,1,12,1,6,1,3,1,1,3,N,1,N,1,6,N,1,Y,1
2340 台亞,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,1,0,0,0,2,66.55,0,4,2,2,0,0,0,1,3.5,6,30,0,0.01,Y,1,3,9,4,7,1,0,1,1,3,N,1,Y,0,4,N,1,Y,1
2344 華邦電,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,3,1,1,0,4,72.97,0,5,2,2,0,0,1,1,2.5,6,66.67,92.31,0.01,Y,1,3,12,2,5,1,3,1,1,3,N,1,N,1,2,N,1,Y,1
2345 智邦,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,2,0,1,0,3,0,0,0,3,0,0,0,0,0,0.5,5,74.07,75,0.21,Y,1,1,10,0,6,1,0,0,1,3,N,1,N,1,3,N,1,Y,1
2349 錸德,202312  ,Current ,TSE,20231101,2022,N,科技與通訊,硬體,0,0,0,0,3.5,0,0,2.5,1,2.5,0,0,0,0.5,1.5,3,100,50,0.04,N,0,0,6,2,4,0.5,1.5,0.5,0.5,1.5,N,1,N,1,6,N,1,Y,1
2351 順德,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,半導體,0,0,1,0,1,0,0,5,1,4,0,0,0,0,2.5,6,128.57,44.44,0.05,Y,1,2,12,2,4,1,1,0,1,3,N,1,N,1,3,N,1,Y,1
2352 佳世達,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,0,2,1,0,7,0,0,5,2,4,1,2,1,1,0.5,6,84,87.5,0.04,Y,1,1,12,6,8,1,6,1,1,3,N,1,N,1,2,N,1,Y,1
2353 宏碁,202312  ,Current ,TSE,20231101,2022,Y,科技與通訊,硬體,1,3,2,0,8,23.35,0,5,1,2,4,2,1,1,1.5,6,105.88,71.43,0.04,N,0,1,12,3,8,1,3,0,2,3,N,1,N,1,3,N,1,Y,1
